time,instrument,price,signal,strike,score,confidence,regime,manual_guidance,signal_valid_till,blockers,cautions,score_factors,reason,strike_reason
2026-04-08 10:15:00.396162,NIFTY,23999.0,NO_TRADE,,73,MEDIUM,TRENDING,HIGH RISK,,direction_present_but_filters_incomplete,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_bias, bullish_oi_trend, bullish_build_up, atm_pe_concentration, normal_volume",Directional context present but filters incomplete | score=73,
2026-04-08 10:20:00.771795,NIFTY,23986.65,NO_TRADE,,53,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, bullish_oi_trend, atm_pe_concentration, normal_volume",No valid setup | score=53,
2026-04-08 10:25:00.535179,NIFTY,23987.65,NO_TRADE,,43,LOW,TRENDING,HIGH RISK,,no_valid_setup,"near_resistance, opposite_pressure","price_above_vwap, orb_breakout_up, atm_pe_concentration, normal_volume",No valid setup | score=43,
2026-04-08 10:30:02.324189,NIFTY,24002.65,NO_TRADE,,43,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"price_above_vwap, orb_breakout_up, atm_pe_concentration, normal_volume",Trade not allowed (time filter) | score=43,
2026-04-08 10:35:00.851626,NIFTY,23993.85,NO_TRADE,,58,LOW,NO_TRADE_WINDOW,HIGH RISK,,time_filter,,"bearish_oi_bias, bearish_oi_trend, bearish_build_up, bearish_pressure, atm_ce_concentration, normal_volume",Trade not allowed (time filter) | score=58,
2026-04-09 06:00:00.223584,NIFTY,23848.2,NO_TRADE,,30,LOW,EARLY_SESSION,HIGH RISK,,orb_not_ready,,"price_above_vwap, bullish_pressure",ORB not ready | score=30,
2026-04-09 06:05:00.800307,NIFTY,23858.05,NO_TRADE,,68,LOW,EARLY_SESSION,HIGH RISK,,orb_not_ready,,"price_above_vwap, bullish_oi_bias, bullish_oi_trend, bullish_build_up, bullish_pressure, normal_volume",ORB not ready | score=68,
2026-04-09 06:45:08.603313,NIFTY,23829.35,NO_TRADE,,45,LOW,EARLY_SESSION,HIGH RISK,,no_valid_setup,"near_support, opposite_pressure","price_below_vwap, bearish_oi_bias, bearish_oi_trend, bearish_build_up",Reconnect cooldown active (2 bars left) | score=45,
2026-04-09 06:50:00.927116,NIFTY,23831.2,NO_TRADE,,40,LOW,OPENING_EXPANSION,HIGH RISK,,no_valid_setup,opposite_pressure,"price_below_vwap, bearish_oi_trend, strong_volume",Reconnect cooldown active (2 bars left) | score=40,
2026-04-09 06:55:02.580353,NIFTY,23839.45,NO_TRADE,,38,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_pressure, normal_volume",Reconnect cooldown active (1 bars left) | score=38,
2026-04-09 07:00:00.163671,NIFTY,23855.25,NO_TRADE,,58,LOW,CHOPPY,HIGH RISK,,no_valid_setup,,"price_above_vwap, bullish_oi_bias, bullish_build_up, bullish_pressure, normal_volume",No valid setup | score=58,
